label,size,kernel,variant,med_ns_per_cell,min_ns_per_cell
base_r2,49x33x33,rk_stage,noirs,12.755472819010416,11.543599446614584
base_r2,49x33x33,rk_stage,plain,7.023111979166667,6.193705240885417
base_r2,24x16x16,smooth_l1,untiled,15.308268229166666,14.883951822916666
base_r2,24x16x16,smooth_l1,tiled,13.761555989583334,13.336751302083334
base_r2,12x8x8,smooth_l2,untiled,17.417317708333332,16.8203125
base_r2,12x8x8,smooth_l2,tiled,18.704427083333332,18.095052083333332
base_r2,6x4x4,smooth_l3,untiled,35.291666666666664,33.552083333333336
base_r2,6x4x4,smooth_l3,tiled,43.041666666666664,40.6875
base_r2,65x49x49,rk_stage,irs,14.91970486111111,14.32358127170139
base_r2,65x49x49,rk_stage,noirs,13.25868394639757,12.181749131944445
base_r2,65x49x49,rk_stage,plain,7.72489759657118,7.444057888454861
base_r2,32x24x24,smooth_l1,untiled,17.913167317708332,16.793294270833332
base_r2,32x24x24,smooth_l1,tiled,15.88357204861111,14.581380208333334
base_r2,16x12x12,smooth_l2,untiled,14.657552083333334,14.41189236111111
base_r2,16x12x12,smooth_l2,tiled,16.473307291666668,16.2109375
base_r2,8x6x6,smooth_l3,untiled,20.05902777777778,19.42361111111111
base_r2,8x6x6,smooth_l3,tiled,26.166666666666668,25.399305555555557
base_r2,81x65x65,rk_stage,irs,14.541629028320312,13.668692016601563
base_r2,81x65x65,rk_stage,noirs,12.7752685546875,12.176229858398438
base_r2,81x65x65,rk_stage,plain,7.110696411132812,6.834906005859375
base_r2,40x32x32,smooth_l1,untiled,20.9935302734375,20.166943359375
base_r2,40x32x32,smooth_l1,tiled,17.5219970703125,16.246337890625
base_r2,20x16x16,smooth_l2,untiled,15.8236328125,15.5388671875
base_r2,20x16x16,smooth_l2,tiled,15.1634765625,14.8431640625
base_r2,10x8x8,smooth_l3,untiled,19.4859375,19.015625
base_r2,10x8x8,smooth_l3,tiled,20.76875,20.3953125
base_r2,97x97x97,rk_stage,irs,14.693202831127026,13.29400634765625
base_r2,97x97x97,rk_stage,noirs,12.492034912109375,11.64513255931713
base_r2,97x97x97,rk_stage,plain,7.317204228153935,6.58302476671007
base_r2,48x48x48,smooth_l1,untiled,24.14189091435185,23.58302589699074
base_r2,48x48x48,smooth_l1,tiled,18.155445240162038,17.69623480902778
base_r2,24x24x24,smooth_l2,untiled,16.011863425925927,15.121238425925926
base_r2,24x24x24,smooth_l2,tiled,14.777633101851851,13.638093171296296
base_r2,12x12x12,smooth_l3,untiled,16.10474537037037,15.916666666666666
base_r2,12x12x12,smooth_l3,tiled,19.083912037037038,18.75347222222222
base_r2,129x97x97,rk_stage,irs,13.751164330376518,13.159780714246962
base_r2,129x97x97,rk_stage,noirs,11.833318498399523,11.236074659559462
base_r2,129x97x97,rk_stage,plain,6.467804802788629,6.171773274739583
base_r2,64x48x48,smooth_l1,untiled,26.78512234157986,26.44961886935764
base_r2,64x48x48,smooth_l1,tiled,19.58635796440972,19.125712076822918
base_r2,32x24x24,smooth_l2,untiled,17.274061414930557,16.479329427083332
base_r2,32x24x24,smooth_l2,tiled,15.637315538194445,14.595052083333334
base_r2,16x12x12,smooth_l3,untiled,14.6328125,14.459635416666666
base_r2,16x12x12,smooth_l3,tiled,16.649305555555557,16.350260416666668
